EventNumber,Energy,X,Y,Z,Px,Py,Pz,ParticleType,L1_Energy,L1_X,L1_Y,L1_Z,L1_Px,L1_Py,L1_Pz,L2_Energy,L2_X,L2_Y,L2_Z,L2_Px,L2_Py,L2_Pz
590,13779.0,0,0,13779.0,11,0,0,0,13770.9,3999.36,-0.253407,1999.88,13770.9,-5.32366,-7.44784,13767.4,8000.0,0.121887,1997.95,13767.4,0.390578,-2.92315
591,11528.5,0,0,11528.5,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
592,17991.5,0,0,17991.5,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
593,8069.26,0,0,8069.26,22,0,0,0,7698.33,4000.0,2.05936e-05,2000.0,7698.33,4.2237,-4.59279,4358.29,7995.53,2.04277,1998.08,4358.29,2.6614,-1.14145
594,5316.58,0,0,5316.58,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595,9884.06,0,0,9884.06,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
596,12179.9,0,0,12179.9,11,0,0,0,11308.0,3998.28,0.0507133,1999.84,11308.0,-0.488355,-0.0478365,11130.8,8000.0,2.92086,1998.09,11130.8,10.8014,-4.42034
597,9823.7,0,0,9823.7,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
598,12304.3,0,0,12304.3,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599,15847.4,0,0,15847.4,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,17174.6,0,0,17174.6,11,0,0,0,14465.7,3998.57,0.129828,1999.84,14465.7,1.70829,1.93535,14300.3,8000.0,-0.869446,1999.85,14300.3,-3.4387,-0.1543
601,222.306,0,0,222.306,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602,19864.3,0,0,19864.3,22,0,0,0,18356.9,4000.0,7.34366e-06,2000.0,18356.9,-2.25586,2.39061,18351.6,7999.0,-0.285991,2000.58,18351.6,-0.575638,14.0222
603,6979.27,0,0,6979.27,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604,14045.8,0,0,14045.8,11,0,0,0,14020.6,3999.13,-0.361356,1999.9,14020.6,-1.72747,0.662218,13412.8,7995.62,-0.639793,2000.68,13412.8,1.67413,1.70079
605,13914.9,0,0,13914.9,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606,4365.09,0,0,4365.09,11,0,0,0,3367.62,3998.15,-0.833562,2000.4,3367.62,-0.62463,0.770408,2383.83,8000.0,1.95595,2008.52,2383.82,3.95239,4.7748
607,973.213,0,0,973.213,11,0,0,0,960.699,3998.35,-2.31911,2001.48,960.695,-0.0983989,-2.80112,955.101,8000.0,-8.93137,2001.03,955.077,5.655,3.56677
608,1368.18,0,0,1368.18,11,0,0,0,1362.16,3998.44,-1.1701,2002.55,1362.16,-1.21575,-0.306015,802.339,7999.99,-14.0436,1993.02,802.053,-4.12369,21.0257
609,4088.56,0,0,4088.56,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610,17213.7,0,0,17213.7,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
611,12390.6,0,0,12390.6,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612,839.664,0,0,839.664,11,0,0,0,337.023,3998.23,5.6722,1994.61,337.019,0.322639,-1.61141,332.247,7999.9,40.1275,2029.18,332.193,5.87551,0.915771
613,10544.3,0,0,10544.3,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614,4349.59,0,0,4349.59,11,0,0,0,4347.94,3998.25,0.923383,1999.13,4347.94,1.50971,2.32532,4341.27,8000.0,4.42147,1995.81,4341.26,1.98009,-4.43691
615,12683.5,0,0,12683.5,11,0,0,0,12676.1,3998.86,-0.371361,2000.16,12676.1,1.88833,-3.81551,7963.55,8000.0,2.76132,1999.25,7963.55,6.17518,0.676111
616,16051.2,0,0,16051.2,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
617,2176.51,0,0,2176.51,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618,10104.9,0,0,10104.9,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
619,7037.0,0,0,7037.0,11,0,0,0,7024.71,3998.44,-0.490893,1999.84,7024.71,2.64006,6.51686,5050.51,7995.14,4.56862,2003.73,5050.51,5.70076,5.32392
620,5833.81,0,0,5833.81,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
621,9145.3,0,0,9145.3,11,0,0,0,6984.01,3998.29,0.14586,1999.73,6984.0,2.66346,2.13589,4503.61,8000.0,-0.390482,1989.83,4503.59,0.929145,-12.205
622,17462.0,0,0,17462.0,11,0,0,0,15110.2,3998.11,-0.277361,1999.85,15110.2,0.124937,-0.685533,15033.7,8000.0,-0.11317,2000.71,15033.7,7.78444,4.07537
623,4910.93,0,0,4910.93,11,0,0,0,4686.18,3999.43,-0.267998,2000.39,4686.18,-0.102284,1.66437,4677.94,8000.0,-4.99797,2002.54,4677.93,-6.85098,-2.28633
624,19193.1,0,0,19193.1,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
625,17274.0,0,0,17274.0,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
626,720.765,0,0,720.765,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
627,2597.26,0,0,2597.26,11,0,0,0,2595.16,3998.84,-0.315727,1998.41,2595.15,-0.448174,-4.11932,295.906,7994.63,97.6099,1978.3,295.814,7.34756,-0.792923
628,16757.4,0,0,16757.4,11,0,0,0,7290.84,3998.74,-0.691713,2000.12,7290.84,-0.82827,0.236461,3821.3,7995.17,-8.00387,2000.32,3821.29,-7.41747,-0.0313888
629,11452.7,0,0,11452.7,11,0,0,0,11450.6,3998.63,0.0349446,2000.43,11450.6,-2.10575,5.14349,11166.2,7995.9,-0.307528,2000.53,11166.2,-1.74469,3.03749
630,5287.23,0,0,5287.23,22,0,0,0,4414.54,3999.54,2.53345e-06,2000.0,4414.54,-0.356372,-2.73971,4403.39,7995.15,1.11265,1997.61,4403.39,1.78665,-0.907908
631,18735.1,0,0,18735.1,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
632,18993.5,0,0,18993.5,11,0,0,0,18978.4,3999.13,-0.0459925,2000.22,18978.4,8.44636,10.4515,18955.8,8000.0,0.628461,2002.77,18955.8,-2.25864,16.8039
633,2742.24,0,0,2742.24,11,0,0,0,2740.44,3998.47,-0.463059,2000.17,2740.43,-4.66165,-2.82107,1037.11,7995.98,-2.59405,1998.73,1037.11,-0.202193,-0.894787
634,8710.76,0,0,8710.76,11,0,0,0,7341.82,3998.25,-0.226669,1999.95,7341.82,-2.32032,1.06645,3562.55,7995.84,9.52888,2005.63,3562.53,7.90564,4.01057
635,1206.01,0,0,1206.01,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
636,4702.53,0,0,4702.53,11,0,0,0,3226.15,3998.09,0.407325,1999.91,3226.15,-1.09513,-0.325762,3108.36,7995.91,-8.75189,2008.4,3108.34,-9.20788,8.35112
637,14080.5,0,0,14080.5,11,0,0,0,14075.2,3998.4,-0.0491172,2000.27,14075.2,3.23058,2.93662,14036.0,7996.66,2.02501,2003.26,14036.0,5.04568,11.9895
638,17614.2,0,0,17614.2,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
639,7470.26,0,0,7470.26,11,0,0,0,7366.59,3998.39,0.312768,1999.26,7366.59,2.98227,-3.71979,7272.44,8000.0,-1.50295,1997.31,7272.43,-2.11237,15.5033
640,6898.65,0,0,6898.65,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
641,11919.4,0,0,11919.4,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
642,2667.03,0,0,2667.03,11,0,0,0,2665.35,3998.92,-2.0343,1999.91,2665.35,-4.85454,1.48711,2642.69,8000.0,-4.51675,2007.65,2642.69,0.0268552,6.50739
643,12282.3,0,0,12282.3,11,0,0,0,11726.6,3999.13,0.0359066,1999.74,11726.6,3.07141,-2.8011,11721.7,8000.0,2.45907,1998.15,11721.7,13.3533,-11.1997
644,11720.7,0,0,11720.7,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
645,16087.7,0,0,16087.7,11,0,0,0,16022.6,3999.27,0.0890938,2000.2,16022.6,-4.28248,1.51204,16018.2,8000.0,-1.55161,2001.32,16018.1,-11.3491,-7.90447
646,7714.41,0,0,7714.41,22,0,0,0,4112.24,3999.9,3.79665e-05,2000.0,4112.24,1.37888,-1.39125,3925.08,7998.71,1.10921,1997.0,3925.07,-0.0611152,-8.9826
647,18521.0,0,0,18521.0,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
648,16528.9,0,0,16528.9,11,0,0,0,16525.1,3998.05,0.244541,2000.09,16525.1,2.01148,1.33544,8798.84,7997.18,2.79698,1997.95,8798.83,6.27674,-1.67235
649,11650.6,0,0,11650.6,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
650,14628.3,0,0,14628.3,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
651,3969.65,0,0,3969.65,11,0,0,0,3927.6,3999.31,0.00419534,1999.74,3927.58,-6.87305,10.7137,1211.19,7995.63,-6.78881,2016.77,1211.18,-1.79354,5.28223
